2017-09-15 09:48:39am ::1  localhost/smis/pages/general_content/district 
2017-09-15 09:48:49am ::1 satishm localhost/smis/pages/home 
2017-09-15 09:48:57am ::1 satishm localhost/smis/theme_option/manage_menu 
2017-09-15 09:49:37am ::1 satishm localhost/smis/pages/general_content/district 
2017-09-15 09:50:23am ::1 satishm localhost/smis/theme_option/manage_menu/add_menu_list 
2017-09-15 09:50:23am ::1 satishm localhost/smis/theme_option/manage_menu 
2017-09-15 09:53:55am ::1 satishm localhost/smis/theme_option/manage_menu/update_menu_list 
2017-09-15 09:53:55am ::1 satishm localhost/smis/theme_option/manage_menu 
2017-09-15 09:54:48am ::1 satishm localhost/smis/theme_option/manage_menu/add_menu_list 
2017-09-15 09:54:49am ::1 satishm localhost/smis/theme_option/manage_menu 
2017-09-15 10:03:41am ::1 satishm localhost/smis/theme_option/manage_menu/update_menu_list 
2017-09-15 10:03:42am ::1 satishm localhost/smis/theme_option/manage_menu 
2017-09-15 10:04:02am ::1 satishm localhost/smis/theme_option/manage_menu/add_menu_list 
2017-09-15 10:04:02am ::1 satishm localhost/smis/theme_option/manage_menu 
2017-09-15 10:04:10am ::1 satishm localhost/smis/theme_option/manage_menu/update_menu_list 
2017-09-15 10:04:10am ::1 satishm localhost/smis/theme_option/manage_menu 
2017-09-15 10:24:15am ::1 satishm localhost/smis/pages/general_content/district 
2017-09-15 10:24:41am ::1 satishm localhost/smis/pages/general_content/school 
2017-09-15 10:27:38am ::1 satishm localhost/smis/pages/general_content/school 
2017-09-15 10:28:15am ::1 satishm localhost/smis/pages/general_content/school 
2017-09-15 10:32:52am ::1 satishm localhost/smis/pages/general_content/school 
2017-09-15 10:35:13am ::1 satishm localhost/smis/pages/general_content/school 
2017-09-15 10:35:17am ::1 satishm localhost/smis/pages/general_content/school 
2017-09-15 10:35:52am ::1 satishm localhost/smis/pages/general_content/school 
2017-09-15 10:38:26am ::1 satishm localhost/smis/pages/general_content/district 
2017-09-15 10:38:31am ::1 satishm localhost/smis/pages/general_content/school 
2017-09-15 10:39:43am ::1 satishm localhost/smis/pages/general_content/school 
2017-09-15 10:42:31am ::1 satishm localhost/smis/pages/general_content/school 
2017-09-15 10:42:50am ::1 satishm localhost/smis/pages/home 
2017-09-15 10:47:29am ::1 satishm localhost/smis/pages/general_content/school 
2017-09-15 10:49:03am ::1 satishm localhost/smis/pages/general_content/school/add_prevschool 
2017-09-15 10:49:15am ::1 satishm localhost/smis/pages/general_content/school 
2017-09-15 10:50:25am ::1 satishm localhost/smis/pages/general_content/school 
2017-09-15 10:50:29am ::1 satishm localhost/smis/pages/general_content/school/add_school 
2017-09-15 10:50:30am ::1 satishm localhost/smis/pages/general_content/school 
2017-09-15 10:51:13am ::1 satishm localhost/smis/pages/general_content/school/edit_school/98 
2017-09-15 10:51:19am ::1 satishm localhost/smis/pages/general_content/school 
2017-09-15 10:51:24am ::1 satishm localhost/smis/pages/general_content/school/delete_school/99 
2017-09-15 10:51:25am ::1 satishm localhost/smis/pages/general_content/school 
2017-09-15 10:51:33am ::1 satishm localhost/smis/pages/general_content/school/delete_school/98 
2017-09-15 10:51:34am ::1 satishm localhost/smis/pages/general_content/school 
2017-09-15 11:11:05am ::1 satishm localhost/smis/pages/general_content/school/edit_school/1 
2017-09-15 11:11:53am ::1 satishm localhost/smis/pages/general_content/school/edit_school/1 
2017-09-15 11:13:26am ::1 satishm localhost/smis/pages/general_content/school/edit_school/1 
2017-09-15 11:13:30am ::1 satishm localhost/smis/pages/general_content/school 
2017-09-15 11:13:32am ::1 satishm localhost/smis/pages/general_content/school/edit_school/1 
2017-09-15 11:14:20am ::1 satishm localhost/smis/pages/general_content/school/edit_school/1 
2017-09-15 11:16:13am ::1 satishm localhost/smis/pages/general_content/school 
2017-09-15 11:16:26am ::1 satishm localhost/smis/pages/general_content/school/add_school 
2017-09-15 11:16:27am ::1 satishm localhost/smis/pages/general_content/school 
