2017-10-13 10:30:04am ::1 satishm localhost/smis/pages/home 
2017-10-13 10:42:25am 192.168.1.102 lokeshm 192.168.1.109/smis/pages/home 
2017-10-13 10:43:21am 192.168.1.102 lokeshm 192.168.1.109/smis/pages/general_content/district 
2017-10-13 10:43:44am 192.168.1.102 lokeshm 192.168.1.109/smis/pages/general_content/school 
2017-10-13 10:44:06am 192.168.1.102 lokeshm 192.168.1.109/smis/pages/general_content/school/edit_school/1 
2017-10-13 10:44:11am 192.168.1.102 lokeshm 192.168.1.109/smis/pages/general_content/school/update_school/1 
2017-10-13 10:44:11am 192.168.1.102 lokeshm 192.168.1.109/smis/pages/general_content/school 
2017-10-13 10:44:16am 192.168.1.102 lokeshm 192.168.1.109/smis/pages/general_content/school/edit_school/1 
2017-10-13 10:44:20am 192.168.1.102 lokeshm 192.168.1.109/smis/pages/general_content/school/update_school/1 
2017-10-13 10:44:20am 192.168.1.102 lokeshm 192.168.1.109/smis/pages/general_content/school 
2017-10-13 10:44:22am 192.168.1.102 lokeshm 192.168.1.109/smis/pages/general_content/school/edit_school/1 
2017-10-13 10:44:28am 192.168.1.102 lokeshm 192.168.1.109/smis/pages/general_content/school/update_school/1 
2017-10-13 10:44:28am 192.168.1.102 lokeshm 192.168.1.109/smis/pages/general_content/school 
2017-10-13 10:44:30am 192.168.1.102 lokeshm 192.168.1.109/smis/pages/general_content/school/edit_school/1 
2017-10-13 10:44:34am 192.168.1.102 lokeshm 192.168.1.109/smis/pages/general_content/school/update_school/1 
2017-10-13 10:44:34am 192.168.1.102 lokeshm 192.168.1.109/smis/pages/general_content/school 
2017-10-13 10:44:45am 192.168.1.102 lokeshm 192.168.1.109/smis/pages/general_content/occupation 
2017-10-13 10:44:53am 192.168.1.102 lokeshm 192.168.1.109/smis/pages/general_content/occupation/update 
2017-10-13 10:44:53am 192.168.1.102 lokeshm 192.168.1.109/smis/pages/general_content/occupation 
2017-10-13 10:45:00am 192.168.1.102 lokeshm 192.168.1.109/smis/pages/general_content/occupation/update 
2017-10-13 10:45:01am 192.168.1.102 lokeshm 192.168.1.109/smis/pages/general_content/occupation 
2017-10-13 10:45:29am 192.168.1.102 lokeshm 192.168.1.109/smis/pages/general_content/occupation/delete/44 
2017-10-13 10:45:30am 192.168.1.102 lokeshm 192.168.1.109/smis/pages/general_content/occupation 
2017-10-13 10:45:46am 192.168.1.102 lokeshm 192.168.1.109/smis/pages/general_content/occupation/add 
2017-10-13 10:45:46am 192.168.1.102 lokeshm 192.168.1.109/smis/pages/general_content/occupation 
2017-10-13 10:45:54am 192.168.1.102 lokeshm 192.168.1.109/smis/pages/general_content/transportation 
2017-10-13 10:46:09am 192.168.1.102 lokeshm 192.168.1.109/smis/pages/general_content/transportation/update 
2017-10-13 10:46:09am 192.168.1.102 lokeshm 192.168.1.109/smis/pages/general_content/transportation 
2017-10-13 10:47:09am 192.168.1.102 lokeshm 192.168.1.109/smis/pages/general_content/transportation/update 
2017-10-13 10:47:10am 192.168.1.102 lokeshm 192.168.1.109/smis/pages/general_content/transportation 
2017-10-13 10:47:15am 192.168.1.102 lokeshm 192.168.1.109/smis/pages/general_content/transportation/delete/1 
2017-10-13 10:47:15am 192.168.1.102 lokeshm 192.168.1.109/smis/pages/general_content/transportation 
2017-10-13 10:47:24am 192.168.1.102 lokeshm 192.168.1.109/smis/pages/control/employee_control 
2017-10-13 10:48:20am 192.168.1.102 lokeshm 192.168.1.109/smis/pages/profile/employee/add 
2017-10-13 10:48:48am 192.168.1.102 lokeshm 192.168.1.109/smis/pages/profile/employee/insert 
2017-10-13 10:48:48am 192.168.1.102 lokeshm 192.168.1.109/smis/pages/profile/employee/add 
2017-10-13 10:48:55am 192.168.1.102 lokeshm 192.168.1.109/smis/pages/control/employee_control 
2017-10-13 10:49:21am 192.168.1.102 lokeshm 192.168.1.109/smis/pages/profile/employee/update 
2017-10-13 10:49:21am 192.168.1.102 lokeshm 192.168.1.109/smis/pages/control/employee_control 
2017-10-13 10:49:51am 192.168.1.102 lokeshm 192.168.1.109/smis/pages/profile/employee/update 
2017-10-13 10:49:51am 192.168.1.102 lokeshm 192.168.1.109/smis/pages/control/employee_control 
2017-10-13 10:51:58am 192.168.1.102 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2017-10-13 10:52:13am 192.168.1.102 lokeshm 192.168.1.109/smis/pages/profile/student/add 
