2017-11-28 09:57:45am ::1  localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 09:57:52am ::1 satishm localhost/smis/pages/home 
2017-11-28 09:58:18am ::1 satishm localhost/smis/pages/exam/marks_entry 
2017-11-28 09:58:32am ::1 satishm localhost/smis/pages/exam/marks_entry 
2017-11-28 09:58:32am ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 10:09:08am ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 10:09:31am ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 10:11:30am ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 10:11:39am ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 10:12:54am ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 10:13:09am ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 10:13:44am ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 10:14:11am ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 10:14:56am ::1 satishm localhost/smis/pages/exam/exam_setting 
2017-11-28 10:15:53am ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 10:16:08am ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 10:16:33am ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 10:16:34am ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 10:16:45am ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 10:17:10am ::1 satishm localhost/smis/pages/exam/exam_setting/add_exam 
2017-11-28 10:17:11am ::1 satishm localhost/smis/pages/exam/exam_setting 
2017-11-28 10:17:19am ::1 satishm localhost/smis/pages/exam/exam_setting/edit 
2017-11-28 10:17:29am ::1 satishm localhost/smis/pages/exam/exam_setting/update 
2017-11-28 10:17:30am ::1 satishm localhost/smis/pages/exam/exam_setting 
2017-11-28 10:17:33am ::1 satishm localhost/smis/pages/exam/exam_setting/edit 
2017-11-28 10:17:36am ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 10:20:02am ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 10:23:50am ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 10:23:56am ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 10:24:21am ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 10:24:31am ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 10:25:50am ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 10:27:00am ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 10:28:41am ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 10:32:21am ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 10:34:27am ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 10:41:02am ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 10:41:44am ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 10:43:35am ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 10:44:03am ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 10:44:06am ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 10:44:24am ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 10:45:29am ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 10:46:04am ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 10:46:18am ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 10:46:37am ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 03:13:06pm ::1  localhost/smis/pages/exam/exam_setting 
2017-11-28 03:13:11pm ::1 satishm localhost/smis/pages/home 
2017-11-28 03:13:17pm ::1 satishm localhost/smis/pages/profile/student/add 
2017-11-28 03:13:43pm ::1 satishm localhost/smis/pages/profile/student/insert 
2017-11-28 03:13:43pm ::1 satishm localhost/smis/pages/profile/student/add 
2017-11-28 03:14:11pm ::1 satishm localhost/smis/pages/profile/student/insert 
2017-11-28 03:14:11pm ::1 satishm localhost/smis/pages/profile/student/add 
2017-11-28 03:15:17pm ::1 satishm localhost/smis/pages/exam/marks_entry 
2017-11-28 03:15:22pm ::1 satishm localhost/smis/pages/exam/marks_entry 
2017-11-28 03:15:23pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 03:18:25pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 03:19:11pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 03:20:59pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 03:21:11pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 03:21:40pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 03:21:58pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 03:26:10pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 03:26:39pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 03:27:25pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 03:27:35pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 03:28:58pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 03:29:18pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 03:29:49pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 03:31:33pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 03:32:44pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 03:33:07pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 03:33:36pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 03:34:45pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 03:36:04pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 03:38:47pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 03:39:19pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 03:40:26pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 03:40:36pm ::1 satishm localhost/smis/pages/exam/exam_setting 
2017-11-28 03:42:29pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 03:43:26pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 03:43:53pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 03:44:31pm ::1 satishm localhost/smis/theme_option/manage_role 
2017-11-28 03:45:42pm ::1 satishm localhost/smis/theme_option/manage_role 
2017-11-28 03:45:46pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 03:46:55pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 03:46:58pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 03:47:34pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 03:47:47pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 03:48:08pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 03:58:15pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 03:58:15pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 03:59:37pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 03:59:37pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 03:59:56pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 03:59:56pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 04:00:09pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 04:00:09pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 04:00:16pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 04:00:16pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 04:00:18pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 04:00:18pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 04:00:24pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 04:00:24pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 04:01:17pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 04:01:17pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 04:01:33pm ::1 satishm localhost/smis/pages/exam/marks_entry/students_with_mark/1/1/1 
2017-11-28 04:02:01pm ::1 satishm localhost/smis/pages/exam/marks_entry/students_with_mark/1/1/1 
2017-11-28 04:02:09pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 04:02:09pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 04:02:11pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 04:02:11pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 04:02:11pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 04:02:11pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 04:02:26pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 04:02:26pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 04:04:54pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 04:05:12pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 04:05:29pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 04:05:51pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 04:06:15pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 04:10:29pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 04:10:45pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 04:11:40pm ::1 satishm localhost/smis/pages/exam/exam_setting 
2017-11-28 04:12:16pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 04:12:52pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 04:13:03pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 04:13:26pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 04:13:41pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 04:20:52pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 04:22:03pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 04:22:12pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 04:23:10pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 04:23:25pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 04:23:48pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 04:24:27pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 04:24:49pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 04:25:07pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 04:25:29pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 04:25:38pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 04:26:50pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 04:28:22pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 04:28:38pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 04:29:21pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 04:30:13pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 04:30:42pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 04:31:02pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
2017-11-28 04:31:37pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1295 
