2018-02-04 07:53:27am 192.168.1.153  192.168.1.109/smis/pages/profile/student/add 
2018-02-04 07:53:30am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/home 
2018-02-04 07:53:36am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-04 08:46:27am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-04 08:56:12am 192.168.1.153  192.168.1.109/smis/pages/profile/student/add 
2018-02-04 09:00:11am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/home 
2018-02-04 09:00:21am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-04 09:02:25am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-04 09:03:54am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/home 
2018-02-04 09:06:58am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/home 
2018-02-04 09:08:13am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/home 
2018-02-04 09:08:21am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-04 09:08:42am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-04 09:10:02am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/home 
2018-02-04 09:10:23am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-04 09:12:18am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-04 10:26:11am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/home 
2018-02-04 10:26:27am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-04 10:26:39am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-04 10:27:11am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/home 
2018-02-04 10:28:08am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-04 10:31:05am 192.168.1.138 lokeshm 192.168.1.109/smis/pages/home 
2018-02-04 10:31:25am 192.168.1.138 lokeshm 192.168.1.109/smis/pages/profile/student/manage 
2018-02-04 10:31:32am 192.168.1.138 lokeshm 192.168.1.109/smis/pages/profile/student/manage 
2018-02-04 10:31:36am 192.168.1.138 lokeshm 192.168.1.109/smis/pages/profile/student/manage 
2018-02-04 10:31:41am 192.168.1.138 lokeshm 192.168.1.109/smis/pages/profile/student/manage 
2018-02-04 10:32:07am 192.168.1.138 lokeshm 192.168.1.109/smis/pages/profile/student/edit/1218 
2018-02-04 10:35:46am 192.168.1.138 lokeshm 192.168.1.109/smis/pages/profile/student/manage 
2018-02-04 10:35:50am 192.168.1.138 lokeshm 192.168.1.109/smis/pages/profile/student/manage 
2018-02-04 10:36:13am 192.168.1.138 lokeshm 192.168.1.109/smis/pages/profile/student/manage 
2018-02-04 10:36:20am 192.168.1.138 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-04 10:39:08am 192.168.1.138 lokeshm 192.168.1.109/smis/pages/profile/student/insert 
2018-02-04 10:39:09am 192.168.1.138 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-04 10:39:31am 192.168.1.138 lokeshm 192.168.1.109/smis/pages/profile/student/manage 
2018-02-04 10:39:41am 192.168.1.138 lokeshm 192.168.1.109/smis/pages/profile/student/manage 
2018-02-04 10:40:28am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-04 10:42:51am 192.168.1.138 lokeshm 192.168.1.109/smis/pages/profile/student/manage 
2018-02-04 10:43:38am 192.168.1.138 lokeshm 192.168.1.109/smis/pages/profile/student/insert 
2018-02-04 10:43:38am 192.168.1.138 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-04 10:46:11am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-04 10:46:12am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-04 10:46:19am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-04 10:46:19am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-04 10:47:17am 192.168.1.138 lokeshm 192.168.1.109/smis/pages/profile/student/insert 
2018-02-04 10:47:18am 192.168.1.138 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-04 10:47:26am 192.168.1.138 lokeshm 192.168.1.109/smis/pages/profile/student/manage 
2018-02-04 10:52:54am 192.168.1.138 lokeshm 192.168.1.109/smis/pages/profile/student/insert 
2018-02-04 10:52:55am 192.168.1.138 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-04 10:56:27am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-04 11:04:45am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/manage 
2018-02-04 11:04:52am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/manage 
2018-02-04 11:04:54am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/manage 
2018-02-04 11:05:26am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/insert 
2018-02-04 11:05:27am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-04 11:05:30am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/manage 
2018-02-04 11:08:01am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-04 11:08:15am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-04 11:08:15am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-04 11:08:15am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-04 11:09:07am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/edit/1233 
2018-02-04 11:22:34am 192.168.1.138 lokeshm 192.168.1.109/smis/pages/profile/student/insert 
2018-02-04 11:22:34am 192.168.1.138 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-04 11:22:51am 192.168.1.138 lokeshm 192.168.1.109/smis/pages/profile/student/manage 
2018-02-04 01:21:11pm ::1 satishm localhost/smis/pages/home 
2018-02-04 01:24:05pm ::1 satishm localhost/smis/pages/classes/house_manager 
2018-02-04 01:28:02pm ::1 satishm localhost/smis/pages/classes/Appraisal_manager 
2018-02-04 01:28:25pm ::1 satishm localhost/smis/pages/classes/Appraisal_manager 
2018-02-04 01:34:12pm ::1 satishm localhost/smis/pages/classes/Appraisal_manager 
2018-02-04 01:50:47pm ::1 satishm localhost/smis/pages/classes/Appraisal_manager 
2018-02-04 01:50:51pm ::1 satishm localhost/smis/pages/classes/Appraisal_manager 
2018-02-04 01:50:59pm ::1 satishm localhost/smis/pages/classes/Appraisal_manager 
2018-02-04 01:51:16pm ::1 satishm localhost/smis/pages/classes/appraisal_manager/index 
2018-02-04 01:51:25pm ::1 satishm localhost/smis/pages/classes/Appraisal_manager 
2018-02-04 01:51:26pm ::1 satishm localhost/smis/pages/classes/Appraisal_manager 
2018-02-04 01:51:33pm ::1 satishm localhost/smis/pages/classes/house_manager 
