2018-02-07 02:10:10pm 192.168.1.109  192.168.1.109/smis/pages/profile/evaluation/list_student/1295 
2018-02-07 02:10:16pm ::1 satishm localhost/smis/pages/home 
2018-02-07 02:10:34pm 192.168.1.109 satis 192.168.1.109/smis/pages/home 
2018-02-07 02:10:40pm 192.168.1.109 satis 192.168.1.109/smis/pages/profile/evaluation/list_student/1295 
2018-02-07 02:10:59pm 192.168.1.109 satis 192.168.1.109/smis/pages/profile/evaluation/list_student/1295 
2018-02-07 02:12:00pm 192.168.1.109 satis 192.168.1.109/smis/pages/classes/attendance/add/1295 
2018-02-07 02:14:14pm 192.168.1.109 satis 192.168.1.109/smis/pages/home 
2018-02-07 02:14:38pm 192.168.1.109 satis 192.168.1.109/smis/pages/home 
2018-02-07 02:16:10pm ::1 satishm localhost/smis/pages/classes/section_manager 
2018-02-07 02:16:14pm ::1 satishm localhost/smis/pages/classes/grade_manager 
2018-02-07 02:16:21pm ::1 satishm localhost/smis/pages/classes/subject_manager 
2018-02-07 02:16:32pm ::1 satishm localhost/smis/pages/classes/batch 
2018-02-07 02:16:38pm ::1 satishm localhost/smis/pages/classes/grade_manager 
2018-02-07 02:16:48pm ::1 satishm localhost/smis/pages/classes/class_manager 
2018-02-07 02:20:21pm 192.168.1.109 satis 192.168.1.109/smis/pages/home 
2018-02-07 02:24:44pm 192.168.1.109 satis 192.168.1.109/smis/pages/profile/evaluation/list_student/1301 
2018-02-07 02:24:46pm 192.168.1.109 satis 192.168.1.109/smis/pages/profile/evaluation/list_student/1295 
2018-02-07 02:24:51pm 192.168.1.109 satis 192.168.1.109/smis/pages/home 
2018-02-07 02:25:46pm 192.168.1.109 satis 192.168.1.109/smis/pages/home 
2018-02-07 02:28:22pm 192.168.1.109 satis 192.168.1.109/smis/pages/home 
2018-02-07 02:28:39pm 192.168.1.109 satis 192.168.1.109/smis/pages/home 
2018-02-07 02:28:45pm 192.168.1.109 satis 192.168.1.109/smis/pages/home 
2018-02-07 02:29:13pm 192.168.1.109 satis 192.168.1.109/smis/pages/home 
2018-02-07 02:29:34pm 192.168.1.109 satis 192.168.1.109/smis/pages/home 
2018-02-07 02:29:51pm 192.168.1.109 satis 192.168.1.109/smis/pages/home 
2018-02-07 02:30:12pm 192.168.1.109 satis 192.168.1.109/smis/pages/home 
2018-02-07 02:31:14pm 192.168.1.109 satis 192.168.1.109/smis/pages/profile/evaluation/list_student/1300 
2018-02-07 02:33:58pm 192.168.1.109 satis 192.168.1.109/smis/pages/home 
2018-02-07 02:34:42pm 192.168.1.109 satis 192.168.1.109/smis/pages/classes/section_manager/list_student/1300 
2018-02-07 02:35:29pm 192.168.1.109 satis 192.168.1.109/smis/pages/classes/section_manager/list_student/1300 
2018-02-07 02:36:13pm 192.168.1.109 satis 192.168.1.109/smis/pages/classes/section_manager/list_student/1300 
2018-02-07 02:37:25pm 192.168.1.109 satis 192.168.1.109/smis/pages/home 
2018-02-07 02:37:27pm 192.168.1.109 satis 192.168.1.109/smis/pages/classes/section_manager/list_student/8 
2018-02-07 02:39:25pm 192.168.1.109 satis 192.168.1.109/smis/pages/classes/section_manager/list_student/8 
2018-02-07 02:39:54pm 192.168.1.109 satis 192.168.1.109/smis/pages/classes/section_manager/list_student/8 
2018-02-07 02:40:18pm 192.168.1.109 satis 192.168.1.109/smis/pages/classes/section_manager/list_student/8 
2018-02-07 02:40:48pm 192.168.1.109 satis 192.168.1.109/smis/pages/classes/section_manager/list_student/8 
2018-02-07 02:41:33pm 192.168.1.109 satis 192.168.1.109/smis/pages/classes/section_manager/list_student/8 
2018-02-07 02:43:28pm 192.168.1.109 satis 192.168.1.109/smis/pages/classes/section_manager/list_student/8 
2018-02-07 02:43:50pm 192.168.1.109 satis 192.168.1.109/smis/pages/classes/section_manager/list_student/8 
2018-02-07 02:44:12pm 192.168.1.109 satis 192.168.1.109/smis/pages/classes/section_manager/list_student/8 
2018-02-07 02:46:16pm 192.168.1.109 satis 192.168.1.109/smis/pages/classes/section_manager/list_student/8 
2018-02-07 02:46:43pm 192.168.1.109 satis 192.168.1.109/smis/pages/classes/section_manager/list_student/8 
2018-02-07 02:47:01pm 192.168.1.109 satis 192.168.1.109/smis/pages/classes/section_manager/list_student/8 
2018-02-07 02:47:29pm 192.168.1.109 satis 192.168.1.109/smis/pages/classes/section_manager/list_student/8 
2018-02-07 02:48:00pm 192.168.1.109 satis 192.168.1.109/smis/pages/classes/section_manager/list_student/8 
2018-02-07 02:48:21pm 192.168.1.109 satis 192.168.1.109/smis/pages/classes/section_manager/list_student/8 
2018-02-07 02:49:22pm 192.168.1.109 satis 192.168.1.109/smis/pages/classes/section_manager/list_student/8 
2018-02-07 02:50:03pm 192.168.1.109 satis 192.168.1.109/smis/pages/classes/section_manager/list_student/8 
2018-02-07 02:50:10pm 192.168.1.109 satis 192.168.1.109/smis/pages/classes/section_manager/list_student/8 
2018-02-07 02:50:27pm 192.168.1.109 satis 192.168.1.109/smis/pages/classes/section_manager/list_student/8 
2018-02-07 02:50:38pm 192.168.1.109 satis 192.168.1.109/smis/pages/classes/section_manager/list_student/8 
2018-02-07 02:51:59pm 192.168.1.109 satis 192.168.1.109/smis/pages/classes/section_manager/list_student/8 
2018-02-07 02:52:31pm 192.168.1.109 satis 192.168.1.109/smis/pages/classes/section_manager/list_student/8 
