2018-02-22 08:12:30am 192.168.1.153  192.168.1.109/smis/pages/profile/student/insert 
2018-02-22 08:22:43am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/home 
2018-02-22 08:22:47am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-22 10:52:41am 192.168.1.153  192.168.1.109/smis/pages/profile/student/insert 
2018-02-22 10:53:10am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/home 
2018-02-22 10:53:23am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-22 10:56:11am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/insert 
2018-02-22 10:56:11am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-22 10:56:14am 192.168.1.138 lokeshm 192.168.1.109/smis/pages/home 
2018-02-22 10:56:26am 192.168.1.138 lokeshm 192.168.1.109/smis/pages/profile/student/manage 
2018-02-22 10:56:28am 192.168.1.138 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-22 10:56:37am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-22 10:56:40am 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/section_manager 
2018-02-22 10:56:51am 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/section_manager/add 
2018-02-22 10:56:51am 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/section_manager 
2018-02-22 10:56:55am 192.168.1.138 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-22 10:58:43am 192.168.1.138 lokeshm 192.168.1.109/smis/pages/profile/student/insert 
2018-02-22 10:58:43am 192.168.1.138 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-22 11:00:09am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/insert 
2018-02-22 11:00:09am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-22 11:00:37am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-22 11:03:53am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/insert 
2018-02-22 11:03:53am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-22 11:08:25am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/insert 
2018-02-22 11:08:26am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-22 11:09:10am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-22 11:11:07am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/insert 
2018-02-22 11:11:07am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-22 11:11:33am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/classes/section_manager 
2018-02-22 11:12:00am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/classes/section_manager/add 
2018-02-22 11:12:01am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/classes/section_manager 
2018-02-22 11:12:16am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-22 11:16:50am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/insert 
2018-02-22 11:16:50am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-22 11:17:59am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-22 11:19:27am 192.168.1.138 lokeshm 192.168.1.109/smis/pages/home 
2018-02-22 11:19:42am 192.168.1.138 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-22 11:21:11am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/insert 
2018-02-22 11:21:12am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-22 11:21:34am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-22 11:21:37am 192.168.1.138 lokeshm 192.168.1.109/smis/pages/profile/student/insert 
2018-02-22 11:21:37am 192.168.1.138 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-22 11:23:54am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/insert 
2018-02-22 11:23:55am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-22 11:24:44am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-22 11:26:49am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/insert 
2018-02-22 11:26:49am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-22 11:27:42am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-22 11:27:56am 192.168.1.130 lokeshm 192.168.1.109/smis/pages/home 
2018-02-22 11:30:36am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/insert 
2018-02-22 11:30:36am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-22 11:31:02am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/profile/student/add 
2018-02-22 01:07:27pm ::1 satishm localhost/smis/pages/home 
