2018-02-27 07:57:49am 192.168.1.153 lokeshm 192.168.1.109/smis/pages/home 
2018-02-27 10:59:21am ::1 satishm localhost/smis/pages/home 
2018-02-27 10:59:28am ::1 satishm localhost/smis/pages/profile/student/bulk_edit 
2018-02-27 10:59:31am ::1 satishm localhost/smis/pages/profile/student/class_reassign 
2018-02-27 10:59:38am ::1 satishm localhost/smis/pages/profile/student/class_reassign 
2018-02-27 11:01:58am ::1 satishm localhost/smis/pages/profile/student/class_reassign 
2018-02-27 11:02:08am ::1 satishm localhost/smis/pages/profile/student/update_class_reassign 
2018-02-27 11:02:27am ::1 satishm localhost/smis/pages/profile/student/class_reassign 
2018-02-27 11:02:28am ::1 satishm localhost/smis/pages/profile/student/class_reassign 
2018-02-27 11:17:55am ::1 satishm localhost/smis/pages/profile/student/class_reassign 
2018-02-27 11:18:52am ::1 satishm localhost/smis/pages/profile/student/update_class_reassign 
2018-02-27 11:28:25am ::1 satishm localhost/smis/pages/profile/student/update_class_reassign 
2018-02-27 11:28:41am ::1 satishm localhost/smis/pages/profile/student/update_class_reassign 
2018-02-27 11:28:41am ::1 satishm localhost/smis/pages/profile/student/class_reassign 
2018-02-27 11:28:46am ::1 satishm localhost/smis/pages/profile/student/class_reassign 
2018-02-27 11:28:51am ::1 satishm localhost/smis/pages/profile/student/class_reassign 
2018-02-27 11:29:00am ::1 satishm localhost/smis/pages/profile/student/class_reassign 
2018-02-27 11:29:44am ::1 satishm localhost/smis/pages/profile/student/class_reassign 
2018-02-27 11:30:53am ::1 satishm localhost/smis/pages/profile/student/class_reassign 
2018-02-27 11:31:07am ::1 satishm localhost/smis/pages/profile/student/class_reassign 
2018-02-27 11:31:15am ::1 satishm localhost/smis/pages/profile/student/class_reassign 
2018-02-27 11:31:18am ::1 satishm localhost/smis/pages/profile/student/class_reassign 
2018-02-27 11:31:56am ::1 satishm localhost/smis/pages/profile/student/bulk_edit 
2018-02-27 11:32:02am ::1 satishm localhost/smis/pages/profile/student/bulk_edit 
2018-02-27 11:32:53am ::1 satishm localhost/smis/pages/profile/student/class_reassign 
2018-02-27 11:33:02am ::1 satishm localhost/smis/pages/profile/student/update_class_reassign 
2018-02-27 11:33:03am ::1 satishm localhost/smis/pages/profile/student/class_reassign 
2018-02-27 11:33:12am ::1 satishm localhost/smis/pages/profile/student/class_reassign 
2018-02-27 11:38:44am ::1 satishm localhost/smis/theme_option/manage_menu 
2018-02-27 11:39:06am ::1 satishm localhost/smis/theme_option/manage_menu/add_menu_list 
2018-02-27 11:39:06am ::1 satishm localhost/smis/theme_option/manage_menu 
2018-02-27 11:39:08am ::1 satishm localhost/smis/pages/profile/student/class_reassign 
2018-02-27 11:44:50am ::1 satishm localhost/smis/pages/profile/student_photo 
2018-02-27 11:49:02am ::1 satishm localhost/smis/pages/profile/student_photo 
2018-02-27 11:49:05am ::1 satishm localhost/smis/pages/profile/student/bulk_edit 
2018-02-27 11:49:12am ::1 satishm localhost/smis/pages/profile/student/bulk_edit 
2018-02-27 11:49:16am ::1 satishm localhost/smis/pages/profile/student/class_reassign 
2018-02-27 11:49:20am ::1 satishm localhost/smis/pages/profile/student/class_reassign 
2018-02-27 11:51:59am ::1 satishm localhost/smis/pages/profile/student_photo 
2018-02-27 11:52:54am ::1 satishm localhost/smis/pages/profile/student_photo 
2018-02-27 11:53:07am ::1 satishm localhost/smis/pages/profile/student_photo 
2018-02-27 11:53:41am ::1 satishm localhost/smis/pages/profile/student_photo 
2018-02-27 11:53:45am ::1 satishm localhost/smis/pages/profile/student_photo/verify 
2018-02-27 12:00:55pm ::1 satishm localhost/smis/pages/profile/student_photo/verify 
2018-02-27 12:01:26pm ::1 satishm localhost/smis/pages/profile/student_photo/verify 
2018-02-27 12:01:33pm ::1 satishm localhost/smis/pages/profile/student_photo/verify 
2018-02-27 12:01:41pm ::1 satishm localhost/smis/pages/profile/student_photo/upload 
2018-02-27 12:01:42pm ::1 satishm localhost/smis/pages/profile/student_photo 
2018-02-27 12:01:52pm ::1 satishm localhost/smis/pages/profile/student/class_reassign 
2018-02-27 12:04:00pm ::1 satishm localhost/smis/pages/profile/student_photo/verify 
2018-02-27 12:04:06pm ::1 satishm localhost/smis/pages/profile/student_photo/verify 
2018-02-27 12:04:11pm ::1 satishm localhost/smis/pages/profile/student_photo/upload 
2018-02-27 12:04:11pm ::1 satishm localhost/smis/pages/profile/student_photo 
2018-02-27 12:05:46pm ::1 satishm localhost/smis/pages/profile/student_photo/verify 
2018-02-27 12:05:51pm ::1 satishm localhost/smis/pages/profile/student_photo/upload 
2018-02-27 12:07:40pm ::1 satishm localhost/smis/pages/profile/student_photo/upload 
2018-02-27 12:07:53pm ::1 satishm localhost/smis/pages/profile/student_photo/verify 
2018-02-27 12:07:54pm ::1 satishm localhost/smis/pages/profile/student_photo 
2018-02-27 12:08:09pm ::1 satishm localhost/smis/pages/profile/student_photo/verify 
2018-02-27 12:08:15pm ::1 satishm localhost/smis/pages/profile/student_photo/upload 
2018-02-27 12:09:03pm ::1 satishm localhost/smis/pages/profile/student_photo/upload 
2018-02-27 12:09:19pm ::1 satishm localhost/smis/pages/profile/student_photo/upload 
2018-02-27 12:09:31pm ::1 satishm localhost/smis/pages/profile/student_photo/upload 
2018-02-27 12:09:31pm ::1 satishm localhost/smis/pages/profile/student_photo 
2018-02-27 12:10:06pm ::1 satishm localhost/smis/theme_option/manage_menu 
2018-02-27 12:10:30pm ::1 satishm localhost/smis/theme_option/manage_menu/add_menu_list 
2018-02-27 12:10:31pm ::1 satishm localhost/smis/theme_option/manage_menu 
