2018-03-05 10:35:48am ::1  localhost/smis/pages/exam/marks_entry/terminal_total 
2018-03-05 10:35:52am ::1 satishm localhost/smis/pages/home 
2018-03-05 10:35:59am ::1 satishm localhost/smis/pages/reports/academic_report/exam_summary_report 
2018-03-05 10:36:06am ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-05 10:36:06am ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-05 10:43:36am ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-05 10:43:36am ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-05 10:43:43am ::1 satishm localhost/smis/theme_option/manage_menu 
2018-03-05 10:44:31am ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-05 10:44:31am ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-05 10:44:48am ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-05 10:44:48am ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-05 10:44:57am ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-05 10:44:57am ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-05 10:45:16am ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-05 10:45:16am ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-05 11:07:04am ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-05 11:07:05am ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-05 11:07:33am ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-05 11:07:33am ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-05 11:08:07am ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-05 11:08:07am ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-05 11:12:17am ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-05 11:12:17am ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-05 11:17:54am ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-05 11:17:54am ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-05 11:19:23am ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-05 11:19:23am ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-05 11:20:13am ::1 satishm localhost/smis/pages/reports/academic_report/exam_summary_report 
2018-03-05 11:20:23am ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-05 11:20:23am ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-05 11:20:24am ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-05 11:20:24am ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-05 11:21:34am ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-05 11:21:34am ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-05 11:22:28am ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-05 11:22:28am ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-05 11:24:53am ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-05 11:24:53am ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-05 11:25:40am ::1 satishm localhost/smis/pages/reports/academic_report/exam_summary_report 
2018-03-05 11:25:51am ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-05 11:25:51am ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-05 11:26:31am ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-05 11:26:32am ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-05 11:26:54am ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-05 11:26:54am ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-05 11:27:38am ::1 satishm localhost/smis/pages/reports/academic_report/exam_summary_report 
2018-03-05 11:32:00am ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-05 11:32:00am ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-05 11:33:36am ::1 satishm localhost/smis/pages/exam/assessment_setting 
2018-03-05 03:39:43pm ::1  localhost/smis/pages/exam/assessment_setting 
2018-03-05 03:39:46pm ::1 satishm localhost/smis/pages/home 
2018-03-05 03:40:01pm ::1 satishm localhost/smis/pages/exam/marks_entry 
2018-03-05 03:40:07pm ::1 satishm localhost/smis/pages/exam/marks_entry 
2018-03-05 03:40:07pm ::1 satishm localhost/smis/pages/exam/marks_entry/add/1303 
2018-03-05 03:41:20pm ::1 satishm localhost/smis/pages/exam/assessment_setting 
2018-03-05 03:47:05pm ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-05 03:47:05pm ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-05 03:48:24pm ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-05 03:48:24pm ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-05 04:02:28pm ::1 satishm localhost/smis/pages/exam/assessment_setting 
2018-03-05 04:07:07pm ::1 satishm localhost/smis/pages/classes/appraisal_manager 
2018-03-05 04:07:11pm ::1 satishm localhost/smis/pages/classes/appraisal_manager/get_head_titles 
2018-03-05 04:07:14pm ::1 satishm localhost/smis/pages/classes/appraisal_manager/get_head_titles 
2018-03-05 04:07:17pm ::1 satishm localhost/smis/pages/classes/appraisal_manager/get_head_titles 
2018-03-05 04:14:33pm ::1 satishm localhost/smis/pages/reports/academic_report/exam_summary_report 
2018-03-05 04:14:40pm ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-05 04:14:40pm ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-05 04:23:23pm ::1 satishm localhost/smis/pages/classes/appraisal_manager 
2018-03-05 04:34:26pm ::1 satishm localhost/smis/pages/reports/academic_report/exam_summary_report 
2018-03-05 04:34:32pm ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-05 04:34:32pm ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-05 04:36:40pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/home 
2018-03-05 04:36:44pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/reports/academic_report/exam_summary_report 
2018-03-05 04:36:50pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/reports/academic_report/view_terminal_total 
2018-03-05 04:36:50pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/reports/academic_report/view_terminal_total 
2018-03-05 04:38:20pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/appraisal_manager 
2018-03-05 04:38:23pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/appraisal_manager/get_head_titles 
2018-03-05 04:38:26pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/appraisal_manager/get_head_titles 
2018-03-05 04:38:28pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/appraisal_manager/get_head_titles 
2018-03-05 04:39:09pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/appraisal_manager/get_head_titles 
2018-03-05 04:39:13pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/appraisal_manager/get_head_titles 
