2018-03-07 10:17:28am ::1  localhost/smis/pages/reports/academic_report/exam_summary_report 
2018-03-07 10:17:30am ::1 satishm localhost/smis/pages/home 
2018-03-07 10:17:44am ::1 satishm localhost/smis/pages/reports/academic_report/exam_summary_report 
2018-03-07 10:17:51am ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-07 10:17:51am ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-07 10:17:52am ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 10:18:10am ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-07 10:18:11am ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-07 10:19:37am ::1 satishm localhost/smis/theme_option/site_info 
2018-03-07 10:19:50am ::1 satishm localhost/smis/pages/exam/marks_entry 
2018-03-07 10:19:56am ::1 satishm localhost/smis/pages/exam/marks_entry 
2018-03-07 10:19:57am ::1 satishm localhost/smis/pages/exam/marks_entry/add/1303 
2018-03-07 10:20:00am ::1 satishm localhost/smis/theme_option/site_info/update_info 
2018-03-07 10:20:01am ::1 satishm localhost/smis/theme_option/site_info 
2018-03-07 10:20:03am ::1 satishm localhost/smis/pages/exam/marks_entry/add/1303 
2018-03-07 10:20:18am ::1 satishm localhost/smis/theme_option/site_info/update_info 
2018-03-07 10:20:18am ::1 satishm localhost/smis/theme_option/site_info 
2018-03-07 10:26:32am ::1 satishm localhost/smis/pages/reports/academic_report/exam_summary_report 
2018-03-07 10:26:56am ::1 satishm localhost/smis/theme_option/site_info/update_info 
2018-03-07 10:26:56am ::1 satishm localhost/smis/theme_option/site_info 
2018-03-07 10:27:08am ::1 satishm localhost/smis/theme_option/site_info/update_info 
2018-03-07 10:27:08am ::1 satishm localhost/smis/theme_option/site_info 
2018-03-07 10:31:08am ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-07 10:31:08am ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-07 10:31:12am ::1 satishm localhost/smis/pages/reports/academic_report/exam_summary_report 
2018-03-07 10:31:20am ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-07 10:31:20am ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-07 10:35:05am ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 10:35:09am ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-07 10:35:09am ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-07 10:35:11am ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 10:35:38am ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-07 10:35:38am ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-07 10:35:39am ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 10:35:42am ::1 satishm localhost/smis/pages/reports/academic_report/exam_summary_report 
2018-03-07 10:36:22am ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-07 10:36:22am ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-07 10:37:37am ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 10:37:54am ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-07 10:37:54am ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-07 10:38:48am ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 10:39:01am ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 10:39:10am ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-07 10:39:10am ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-07 10:39:11am ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 10:39:48am ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 10:40:01am ::1 satishm localhost/smis/pages/exam/marks_entry/add/1303 
2018-03-07 10:42:22am ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 10:44:19am ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 10:44:29am ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 10:44:44am ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 10:44:54am ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 10:45:10am ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 10:47:36am ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 10:47:44am ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 10:48:02am ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 10:48:05am ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 10:48:28am ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 10:48:38am ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 10:48:55am ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 10:51:21am ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 10:53:03am ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 10:54:30am ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 10:54:36am ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-07 10:54:36am ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-07 10:54:37am ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 10:54:47am ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 10:55:46am ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 10:55:50am ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 10:56:26am ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 10:56:55am ::1 satishm localhost/smis/pages/reports/academic_report/exam_summary_report 
2018-03-07 10:57:02am ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-07 10:57:03am ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-07 10:57:05am ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 10:57:58am ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 10:58:36am ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 11:00:17am ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 11:00:44am ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 11:00:56am ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 11:04:09am ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 11:04:35am ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 11:05:43am ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 11:06:27am ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-07 11:06:27am ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-07 11:06:29am ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 11:11:29am ::1 satishm localhost/smis/pages/exam/marks_entry/add/1303 
2018-03-07 11:11:36am ::1 satishm localhost/smis/pages/exam/marks_entry/final_update/1303 
2018-03-07 11:11:37am ::1 satishm localhost/smis/pages/exam/marks_entry/add/1303 
2018-03-07 11:14:47am ::1 satishm localhost/smis/pages/exam/marks_entry/add/1303 
2018-03-07 11:15:06am ::1 satishm localhost/smis/pages/exam/marks_entry/add/1303 
2018-03-07 11:15:29am ::1 satishm localhost/smis/pages/exam/marks_entry/update/1303 
2018-03-07 11:15:30am ::1 satishm localhost/smis/pages/exam/marks_entry/add/1303 
2018-03-07 11:16:12am ::1 satishm localhost/smis/pages/exam/marks_entry/update/1303 
2018-03-07 11:16:13am ::1 satishm localhost/smis/pages/exam/marks_entry/add/1303 
2018-03-07 11:18:08am ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 11:18:19am ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 11:18:49am ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 11:19:15am ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 11:19:44am ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-07 11:19:44am ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-07 11:19:48am ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 11:20:05am ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-07 11:20:05am ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-07 11:20:08am ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 11:24:49am ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-07 11:24:49am ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-07 11:24:52am ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 11:25:30am ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 11:25:40am ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 11:26:11am ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 11:29:15am ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 11:29:54am ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 11:30:23am ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 11:30:55am ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 11:31:09am ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 11:31:59am ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 11:32:19am ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 11:32:35am ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 11:33:24am ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 11:34:13am ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 11:35:55am ::1 satishm localhost/smis/theme_option/site_info 
2018-03-07 11:36:00am ::1 satishm localhost/smis/theme_option/site_info/update_info 
2018-03-07 11:36:00am ::1 satishm localhost/smis/theme_option/site_info 
2018-03-07 11:36:03am ::1 satishm localhost/smis/pages/exam/marks_entry/add/1303 
2018-03-07 11:36:12am ::1 satishm localhost/smis/pages/exam/marks_entry/update/1303 
2018-03-07 11:36:13am ::1 satishm localhost/smis/pages/exam/marks_entry/add/1303 
2018-03-07 11:36:21am ::1 satishm localhost/smis/pages/exam/marks_entry/update/1303 
2018-03-07 11:36:21am ::1 satishm localhost/smis/pages/exam/marks_entry/add/1303 
2018-03-07 11:36:37am ::1 satishm localhost/smis/pages/reports/academic_report/exam_summary_report 
2018-03-07 11:36:44am ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-07 11:36:44am ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-03-07 11:36:52am ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 11:38:07am ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 11:38:35am ::1 satishm localhost/smis/pages/ajax/marksheet_view 
2018-03-07 11:48:21am ::1 satishm localhost/smis/pages/exam/exam_setting 
2018-03-07 11:48:35am ::1 satishm localhost/smis/pages/exam/exam_setting/edit 
2018-03-07 11:48:43am ::1 satishm localhost/smis/pages/exam/exam_setting/edit 
2018-03-07 11:55:47am ::1 satishm localhost/smis/theme_option/site_info 
2018-03-07 11:55:50am ::1 satishm localhost/smis/pages/exam/exam_setting/edit 
2018-03-07 11:55:57am ::1 satishm localhost/smis/pages/exam/exam_setting/update 
2018-03-07 11:55:58am ::1 satishm localhost/smis/pages/exam/exam_setting 
2018-03-07 11:56:03am ::1 satishm localhost/smis/pages/exam/marks_entry/add/1303 
2018-03-07 11:56:16am ::1 satishm localhost/smis/pages/exam/assessment_setting 
2018-03-07 11:56:29am ::1 satishm localhost/smis/theme_option/site_info/update_info 
2018-03-07 11:56:30am ::1 satishm localhost/smis/theme_option/site_info 
2018-03-07 11:56:32am ::1 satishm localhost/smis/pages/exam/marks_entry/add/1303 
