2018-03-16 12:07:30pm ::1  localhost/smis/pages/profile/student/details/1214 
2018-03-16 12:07:33pm ::1 satishm localhost/smis/pages/home 
2018-03-16 12:07:35pm ::1 satishm localhost/smis/pages/home 
2018-03-16 12:07:35pm ::1 satishm localhost/smis/pages/profile/student/edit/1214 
2018-03-16 12:07:39pm ::1 satishm localhost/smis/pages/home 
2018-03-16 12:07:40pm ::1 satishm localhost/smis/pages/profile/student/edit/1214 
2018-03-16 12:07:56pm ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-03-16 12:13:09pm ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-03-16 12:13:30pm ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-03-16 12:15:45pm ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-03-16 12:15:55pm ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-03-16 12:17:25pm ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-03-16 12:20:49pm ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-03-16 12:21:25pm ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-03-16 12:22:06pm ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-03-16 12:22:14pm ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-03-16 12:23:52pm ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-03-16 12:25:10pm ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-03-16 12:25:19pm ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-03-16 12:26:25pm ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-03-16 12:27:25pm ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-03-16 12:31:01pm ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-03-16 12:33:41pm ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-03-16 12:36:26pm ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-03-16 12:37:47pm ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-03-16 12:40:25pm ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-03-16 12:40:39pm ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-03-16 12:42:29pm ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-03-16 01:22:16pm 192.168.1.109 satis 192.168.1.109/smis/pages/home 
2018-03-16 01:22:19pm 192.168.1.109 satis 192.168.1.109/smis/pages/profile/evaluation/list_student/1300 
2018-03-16 01:22:26pm 192.168.1.109 satis 192.168.1.109/smis/pages/classes/section_manager/list_student/8 
2018-03-16 01:23:38pm ::1 satishm localhost/smis/pages/classes/appraisal_manager 
