2018-03-28 09:52:15am ::1  localhost/smis/pages/reports/general_reports/student_overall 
2018-03-28 09:52:17am ::1  localhost/smis/pages/reports/general_reports/district_st_dist 
2018-03-28 09:52:19am ::1 satishm localhost/smis/pages/home 
2018-03-28 09:52:20am ::1 satishm localhost/smis/pages/home 
2018-03-28 09:52:21am ::1 satishm localhost/smis/pages/reports/general_reports/student_list 
2018-03-28 09:52:45am ::1 satishm localhost/smis/pages/reports/general_reports/student_overall 
2018-03-28 09:53:12am 192.168.1.138  192.168.1.109/smis/pages/profile/student_photo 
2018-03-28 09:53:14am 192.168.1.138  192.168.1.109/smis/pages/profile/student/manage 
2018-03-28 10:01:31am ::1 satishm localhost/smis/pages/reports/general_reports/student_overall 
2018-03-28 10:01:47am ::1 satishm localhost/smis/pages/reports/general_reports/student_overall 
2018-03-28 10:02:04am ::1 satishm localhost/smis/pages/ajax/st_evaluation?exam_id=13&st_id=1214&section_id=13 
2018-03-28 10:05:58am ::1 satishm localhost/smis/pages/reports/general_reports/student_overall 
2018-03-28 10:06:00am ::1 satishm localhost/smis/pages/reports/general_reports/student_overall 
2018-03-28 10:06:02am ::1 satishm localhost/smis/pages/reports/general_reports/student_overall 
2018-03-28 10:10:53am ::1 satishm localhost/smis/pages/reports/employee_reports/class_teachers 
2018-03-28 10:10:55am ::1 satishm localhost/smis/pages/reports/employee_reports/employee_list_department 
2018-03-28 10:11:00am ::1 satishm localhost/smis/pages/reports/employee_reports/ajax_class_teachers 
2018-03-28 10:11:02am ::1 satishm localhost/smis/pages/reports/employee_reports/ajax_class_teachers 
2018-03-28 10:11:03am ::1 satishm localhost/smis/pages/reports/employee_reports/ajax_class_teachers 
2018-03-28 10:14:49am ::1 satishm localhost/smis/pages/reports/general_reports/student_overall 
2018-03-28 10:14:51am ::1 satishm localhost/smis/pages/reports/general_reports/student_overall 
2018-03-28 10:14:54am ::1 satishm localhost/smis/pages/reports/general_reports/student_overall 
2018-03-28 10:14:57am ::1 satishm localhost/smis/pages/reports/general_reports/student_overall 
2018-03-28 10:14:59am ::1 satishm localhost/smis/pages/reports/general_reports/student_overall 
2018-03-28 10:18:38am ::1 satishm localhost/smis/theme_option/manage_menu 
2018-03-28 10:18:59am ::1 satishm localhost/smis/theme_option/manage_menu/add_menu_list 
2018-03-28 10:19:00am ::1 satishm localhost/smis/theme_option/manage_menu 
2018-03-28 10:19:28am ::1 satishm localhost/smis/pages/reports/general_reports/student_overall 
2018-03-28 10:19:54am ::1 satishm localhost/smis/pages/reports/general_reports/student_overall 
2018-03-28 10:19:57am ::1 satishm localhost/smis/pages/reports/general_reports/student_overall 
2018-03-28 10:20:02am ::1 satishm localhost/smis/pages/reports/general_reports/student_overall 
2018-03-28 10:20:05am ::1 satishm localhost/smis/pages/reports/general_reports/student_overall 
2018-03-28 10:20:26am ::1 satishm localhost/smis/pages/reports/general_reports/student_overall 
2018-03-28 10:20:29am ::1 satishm localhost/smis/pages/reports/general_reports/student_overall 
2018-03-28 10:20:31am ::1 satishm localhost/smis/pages/reports/general_reports/student_overall 
