2018-04-02 09:44:17am ::1  localhost/smis/pages/reports/academic_report/st_attendance_report 
2018-04-02 09:44:19am ::1 satishm localhost/smis/pages/home 
2018-04-02 09:44:25am ::1 satishm localhost/smis/pages/classes/subject_manager 
2018-04-02 09:44:44am ::1 satishm localhost/smis/pages/reports/academic_report/st_attendance_report 
2018-04-02 09:44:50am ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_attendance 
2018-04-02 10:16:20am 192.168.1.139 lokeshm 192.168.1.109/smis/pages/home 
2018-04-02 10:16:40am 192.168.1.139 lokeshm 192.168.1.109/smis/pages/exam/assessment_setting 
2018-04-02 10:17:40am 192.168.1.139 lokeshm 192.168.1.109/smis/pages/exam/assessment_setting/add_assessment 
2018-04-02 10:17:40am 192.168.1.139 lokeshm 192.168.1.109/smis/pages/exam/assessment_setting 
2018-04-02 10:18:16am 192.168.1.139 lokeshm 192.168.1.109/smis/pages/exam/assessment_setting/add_assessment 
2018-04-02 10:18:16am 192.168.1.139 lokeshm 192.168.1.109/smis/pages/exam/assessment_setting 
2018-04-02 10:22:49am 192.168.1.139 lokeshm 192.168.1.109/smis/pages/exam/assessment_setting/add_assessment 
2018-04-02 10:22:50am 192.168.1.139 lokeshm 192.168.1.109/smis/pages/exam/assessment_setting 
2018-04-02 10:48:45am 192.168.1.139 lokeshm 192.168.1.109/smis/pages/exam/assessment_setting/add_assessment 
2018-04-02 10:48:45am 192.168.1.139 lokeshm 192.168.1.109/smis/pages/exam/assessment_setting 
2018-04-02 10:49:03am 192.168.1.139 lokeshm 192.168.1.109/smis/pages/exam/assessment_setting/add_assessment 
2018-04-02 10:49:03am 192.168.1.139 lokeshm 192.168.1.109/smis/pages/exam/assessment_setting 
2018-04-02 10:50:03am 192.168.1.139 lokeshm 192.168.1.109/smis/pages/exam/assessment_setting/add_assessment 
2018-04-02 10:50:03am 192.168.1.139 lokeshm 192.168.1.109/smis/pages/exam/assessment_setting 
2018-04-02 10:50:22am 192.168.1.139 lokeshm 192.168.1.109/smis/pages/exam/assessment_setting/add_assessment 
2018-04-02 10:50:23am 192.168.1.139 lokeshm 192.168.1.109/smis/pages/exam/assessment_setting 
2018-04-02 10:50:56am 192.168.1.139 lokeshm 192.168.1.109/smis/pages/exam/assessment_setting/add_assessment 
2018-04-02 10:50:56am 192.168.1.139 lokeshm 192.168.1.109/smis/pages/exam/assessment_setting 
2018-04-02 10:51:17am 192.168.1.139 lokeshm 192.168.1.109/smis/pages/exam/assessment_setting/add_assessment 
2018-04-02 10:51:17am 192.168.1.139 lokeshm 192.168.1.109/smis/pages/exam/assessment_setting 
2018-04-02 10:51:52am 192.168.1.139 lokeshm 192.168.1.109/smis/pages/exam/assessment_setting/add_assessment 
2018-04-02 10:51:52am 192.168.1.139 lokeshm 192.168.1.109/smis/pages/exam/assessment_setting 
2018-04-02 10:52:42am 192.168.1.139 lokeshm 192.168.1.109/smis/pages/exam/assessment_setting/add_assessment 
2018-04-02 10:52:42am 192.168.1.139 lokeshm 192.168.1.109/smis/pages/exam/assessment_setting 
2018-04-02 10:52:58am 192.168.1.138 lokeshm 192.168.1.109/smis/pages/home 
2018-04-02 10:53:04am 192.168.1.139 lokeshm 192.168.1.109/smis/pages/exam/assessment_setting/add_assessment 
2018-04-02 10:53:04am 192.168.1.139 lokeshm 192.168.1.109/smis/pages/exam/assessment_setting 
2018-04-02 10:53:12am 192.168.1.138 lokeshm 192.168.1.109/smis/pages/exam/assessment_setting 
2018-04-02 10:53:35am 192.168.1.139 lokeshm 192.168.1.109/smis/pages/exam/assessment_setting/update 
2018-04-02 10:53:36am 192.168.1.139 lokeshm 192.168.1.109/smis/pages/exam/assessment_setting 
2018-04-02 10:53:52am 192.168.1.139 lokeshm 192.168.1.109/smis/pages/exam/assessment_setting/add_assessment 
2018-04-02 10:53:52am 192.168.1.139 lokeshm 192.168.1.109/smis/pages/exam/assessment_setting 
2018-04-02 10:55:05am 192.168.1.139 lokeshm 192.168.1.109/smis/pages/exam/assessment_setting/add_assessment 
2018-04-02 10:55:05am 192.168.1.139 lokeshm 192.168.1.109/smis/pages/exam/assessment_setting 
2018-04-02 10:55:22am 192.168.1.139 lokeshm 192.168.1.109/smis/pages/exam/assessment_setting/add_assessment 
2018-04-02 10:55:23am 192.168.1.139 lokeshm 192.168.1.109/smis/pages/exam/assessment_setting 
2018-04-02 10:55:41am 192.168.1.139 lokeshm 192.168.1.109/smis/pages/exam/assessment_setting/add_assessment 
2018-04-02 10:55:41am 192.168.1.139 lokeshm 192.168.1.109/smis/pages/exam/assessment_setting 
