2018-04-05 09:30:18am ::1  localhost/smis/pages/profile/student/details/1218 
2018-04-05 09:30:22am ::1 satishm localhost/smis/pages/home 
2018-04-05 09:30:25am 192.168.1.109  192.168.1.109/smis/pages/classes/section_manager/list_student/13 
2018-04-05 09:30:27am 192.168.1.109 satis 192.168.1.109/smis/pages/home 
2018-04-05 09:30:35am 192.168.1.109 satis 192.168.1.109/smis/pages/classes/section_manager/list_student/13 
2018-04-05 09:31:36am 192.168.1.109 satis 192.168.1.109/smis/pages/classes/appraisal_manager/appraisal_evaluation_option/13 
2018-04-05 09:31:40am 192.168.1.109 satis 192.168.1.109/smis/pages/classes/appraisal_manager/appraisal_evaluation_option/13 
2018-04-05 09:31:41am 192.168.1.109 satis 192.168.1.109/smis/pages/classes/appraisal_manager/appraisal_evaluation_option/13 
2018-04-05 09:35:31am 192.168.1.109 satis 192.168.1.109/smis/pages/classes/appraisal_manager/appraisal_evaluation_option/13 
2018-04-05 09:37:01am ::1 satishm localhost/smis/pages/reports/academic_report/list_student/13 
2018-04-05 09:37:40am ::1 satishm localhost/smis/pages/ajax/st_appraisal?exam_id=2&st_id=1214&section_id=13 
2018-04-05 09:37:52am ::1 satishm localhost/smis/pages/ajax/st_appraisal?exam_id=2&st_id=1214&section_id=13 
2018-04-05 09:38:35am ::1 satishm localhost/smis/pages/ajax/st_appraisal?exam_id=2&st_id=1214&section_id=13 
2018-04-05 09:38:50am ::1 satishm localhost/smis/pages/ajax/st_appraisal?exam_id=2&st_id=1214&section_id=13 
2018-04-05 09:40:03am ::1 satishm localhost/smis/pages/ajax/st_appraisal?exam_id=2&st_id=1214&section_id=13 
2018-04-05 09:40:36am ::1 satishm localhost/smis/pages/ajax/st_appraisal?exam_id=2&st_id=1214&section_id=13 
2018-04-05 09:40:49am ::1 satishm localhost/smis/pages/ajax/st_appraisal?exam_id=2&st_id=1214&section_id=13 
2018-04-05 09:40:55am ::1 satishm localhost/smis/pages/reports/academic_report/list_student/13 
2018-04-05 09:40:59am ::1 satishm localhost/smis/pages/ajax/st_appraisal?exam_id=2&st_id=1214&section_id=13 
2018-04-05 09:43:05am ::1 satishm localhost/smis/pages/reports/academic_report/list_student/13 
2018-04-05 09:43:09am ::1 satishm localhost/smis/pages/ajax/st_appraisal?exam_id=2&st_id=1214&section_id=13 
2018-04-05 09:43:19am ::1 satishm localhost/smis/pages/ajax/st_appraisal?exam_id=2&st_id=1214&section_id=13 
2018-04-05 09:43:32am ::1 satishm localhost/smis/pages/ajax/st_appraisal?exam_id=2&st_id=1215&section_id=13 
2018-04-05 09:43:48am ::1 satishm localhost/smis/pages/ajax/st_appraisal?exam_id=2&st_id=1214&section_id=13 
2018-04-05 09:44:01am ::1 satishm localhost/smis/pages/ajax/pt_evaluation?exam_id=2&st_id=1214&section_id=13 
2018-04-05 09:44:04am ::1 satishm localhost/smis/pages/ajax/st_appraisal?exam_id=2&st_id=1214&section_id=13 
2018-04-05 09:46:57am ::1 satishm localhost/smis/pages/ajax/st_appraisal?exam_id=2&st_id=1214&section_id=13 
2018-04-05 09:47:01am ::1 satishm localhost/smis/pages/ajax/st_appraisal?exam_id=2&st_id=1214&section_id=13 
2018-04-05 09:49:55am ::1 satishm localhost/smis/pages/ajax/st_appraisal?exam_id=2&st_id=1214&section_id=13 
2018-04-05 09:50:04am ::1 satishm localhost/smis/pages/ajax/st_appraisal?exam_id=2&st_id=1214&section_id=13 
2018-04-05 09:50:14am ::1 satishm localhost/smis/pages/ajax/st_appraisal?exam_id=2&st_id=1214&section_id=13 
2018-04-05 09:51:14am ::1 satishm localhost/smis/pages/ajax/st_appraisal?exam_id=2&st_id=1214&section_id=13 
2018-04-05 09:51:18am ::1 satishm localhost/smis/pages/reports/academic_report/list_student/13 
2018-04-05 09:51:21am ::1 satishm localhost/smis/pages/ajax/st_appraisal?exam_id=2&st_id=1214&section_id=13 
2018-04-05 09:51:36am ::1 satishm localhost/smis/pages/ajax/st_appraisal?exam_id=2&st_id=1214&section_id=13 
2018-04-05 09:52:11am ::1 satishm localhost/smis/pages/ajax/st_appraisal?exam_id=2&st_id=1214&section_id=13 
2018-04-05 09:53:46am ::1 satishm localhost/smis/pages/ajax/st_appraisal?exam_id=2&st_id=1214&section_id=13 
2018-04-05 09:54:11am ::1 satishm localhost/smis/pages/ajax/st_appraisal?exam_id=2&st_id=1214&section_id=13 
2018-04-05 09:54:36am ::1 satishm localhost/smis/pages/ajax/st_appraisal?exam_id=2&st_id=1214&section_id=13 
2018-04-05 09:54:57am ::1 satishm localhost/smis/pages/ajax/st_appraisal?exam_id=2&st_id=1215&section_id=13 
2018-04-05 09:55:01am ::1 satishm localhost/smis/pages/ajax/st_appraisal?exam_id=2&st_id=1217&section_id=13 
2018-04-05 09:55:58am ::1 satishm localhost/smis/pages/ajax/sst_evaluation?exam_id=2&st_id=1214&subject_id=121 
2018-04-05 10:05:37am ::1 satishm localhost/smis/theme_option/site_info 
2018-04-05 10:05:41am ::1 satishm localhost/smis/theme_option/manage_menu 
2018-04-05 10:06:13am ::1 satishm localhost/smis/theme_option/manage_menu/add_menu_list 
2018-04-05 10:06:14am ::1 satishm localhost/smis/theme_option/manage_menu 
2018-04-05 10:06:19am ::1 satishm localhost/smis/theme_option/manage_menu/edit/258 
2018-04-05 10:06:25am ::1 satishm localhost/smis/theme_option/manage_menu/update_menu/258 
2018-04-05 10:06:26am ::1 satishm localhost/smis/theme_option/manage_menu/edit/258 
2018-04-05 10:06:30am ::1 satishm localhost/smis/pages/reports/academic_report/student_evaluation_overall 
2018-04-05 10:06:39am ::1 satishm localhost/smis/pages/reports/academic_report/list_student/13 
2018-04-05 10:06:52am ::1 satishm localhost/smis/pages/ajax/pt_evaluation?exam_id=2&st_id=1214&section_id=13 
2018-04-05 10:06:58am ::1 satishm localhost/smis/pages/ajax/pt_evaluation?exam_id=2&st_id=1292&section_id=13 
2018-04-05 10:07:03am ::1 satishm localhost/smis/pages/ajax/st_appraisal?exam_id=2&st_id=1292&section_id=13 
2018-04-05 10:07:05am ::1 satishm localhost/smis/pages/ajax/pt_evaluation?exam_id=2&st_id=1292&section_id=13 
2018-04-05 10:07:08am ::1 satishm localhost/smis/pages/ajax/st_appraisal?exam_id=2&st_id=1215&section_id=13 
2018-04-05 10:07:10am ::1 satishm localhost/smis/pages/ajax/st_appraisal?exam_id=2&st_id=1217&section_id=13 
2018-04-05 10:07:12am ::1 satishm localhost/smis/pages/ajax/pt_evaluation?exam_id=2&st_id=1217&section_id=13 
2018-04-05 10:07:14am ::1 satishm localhost/smis/pages/ajax/pt_evaluation?exam_id=2&st_id=1215&section_id=13 
2018-04-05 10:07:16am ::1 satishm localhost/smis/pages/ajax/pt_evaluation?exam_id=2&st_id=1214&section_id=13 
2018-04-05 10:07:24am 192.168.1.109 satis 192.168.1.109/smis/pages/classes/section_manager/list_student/13 
2018-04-05 10:07:30am 192.168.1.109 satis 192.168.1.109/smis/pages/profile/evaluation/parent_class_evaluation/13 
2018-04-05 10:07:38am 192.168.1.109 satis 192.168.1.109/smis/pages/profile/evaluation/parent_evaluation 
2018-04-05 10:07:51am ::1 satishm localhost/smis/pages/ajax/pt_evaluation?exam_id=2&st_id=1292&section_id=13 
2018-04-05 10:09:47am ::1 satishm localhost/smis/pages/ajax/st_evaluation?exam_id=2&st_id=1214&section_id=13 
2018-04-05 10:09:51am ::1 satishm localhost/smis/pages/ajax/pt_evaluation?exam_id=2&st_id=1214&section_id=13 
2018-04-05 10:10:04am ::1 satishm localhost/smis/pages/ajax/st_evaluation?exam_id=2&st_id=1214&section_id=13 
2018-04-05 10:13:25am 192.168.1.109 satis 192.168.1.109/smis/pages/profile/evaluation/st_terminal_comment/13 
2018-04-05 10:18:44am 192.168.1.109 satis 192.168.1.109/smis/pages/classes/section_manager/list_student/13 
2018-04-05 10:18:51am ::1 satishm localhost/smis/pages/reports/academic_report/student_evaluation_overall 
