2018-04-12 09:57:32am 202.166.196.99  202.52.248.105/smis/pages/exam/marks_entry/add/1316 
2018-04-12 03:22:03pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/home 
2018-04-12 03:22:37pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/general_content/school 
2018-04-12 03:23:28pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/general_content/occupation 
2018-04-12 03:25:12pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/general_content/district 
2018-04-12 03:28:22pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/general_content/transportation 
2018-04-12 03:32:13pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/home 
2018-04-12 03:33:11pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/profile/employee/add 
2018-04-12 03:33:22pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/profile/employee/manage 
2018-04-12 03:33:58pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/profile/employee/add_leave 
2018-04-12 03:33:58pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/profile/employee/manage 
2018-04-12 03:34:34pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/reports/employee_reports/employee_list 
2018-04-12 03:34:51pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/reports/employee_reports/employee_list_type 
2018-04-12 03:35:09pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/reports/employee_reports/employee_list_agreement 
2018-04-12 03:35:28pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/reports/employee_reports/class_teachers 
2018-04-12 03:35:31pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/reports/employee_reports/ajax_class_teachers 
2018-04-12 03:37:15pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/notification 
2018-04-12 03:46:20pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/home 
2018-04-12 03:46:41pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/reports/general_reports/current_student_overall 
2018-04-12 03:57:16pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/reports/academic_report/student_evaluation_overall 
2018-04-12 03:58:05pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/reports/general_reports/current_student_overall 
2018-04-12 03:58:17pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/home 
2018-04-12 03:58:36pm 192.168.1.138 subas 192.168.1.109/smis/pages/home 
2018-04-12 03:58:36pm 192.168.1.138 subas 192.168.1.109/smis/pages/home 
2018-04-12 03:59:50pm 192.168.1.138 subas 192.168.1.109/smis/pages/reports/general_reports/student_list 
2018-04-12 03:59:53pm 192.168.1.138 subas 192.168.1.109/smis/pages/home 
2018-04-12 03:59:53pm 192.168.1.138 subas 192.168.1.109/smis/pages/home 
2018-04-12 04:01:54pm 192.168.1.138 stewart 192.168.1.109/smis/pages/home 
2018-04-12 04:05:12pm 192.168.1.138 stewart 192.168.1.109/smis/pages/home 
2018-04-12 04:05:17pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/home 
