2018-04-16 08:55:57am 202.166.196.99  202.52.248.105/smis/pages/classes/lession_plan/add 
2018-04-16 08:59:04am ::1 satishm localhost/smis/pages/home 
2018-04-16 08:59:18am ::1 satishm localhost/smis/pages/exam/marks_entry 
2018-04-16 08:59:44am ::1 satishm localhost/smis/pages/exam/marks_entry 
2018-04-16 08:59:44am ::1 satishm localhost/smis/pages/exam/marks_entry/add/1303 
2018-04-16 08:59:50am ::1 satishm localhost/smis/pages/exam/marks_entry 
2018-04-16 09:00:07am ::1 satishm localhost/smis/pages/exam/marks_entry 
2018-04-16 09:00:08am ::1 satishm localhost/smis/pages/exam/marks_entry/add/1379 
2018-04-16 09:01:54am ::1 satishm localhost/smis/pages/exam/marks_entry/add/1378 
2018-04-16 11:17:03am ::1  localhost/smis/pages/exam/marks_entry/add/1378 
2018-04-16 11:17:06am ::1 satishm localhost/smis/pages/home 
2018-04-16 11:17:16am ::1 satishm localhost/smis/pages/reports/class_reports/gender_distribution 
2018-04-16 11:50:10am ::1 satishm localhost/smis/pages/reports/general_reports/student_by_bus 
2018-04-16 11:50:14am ::1 satishm localhost/smis/pages/reports/academic_report/student_evaluation_overall 
2018-04-16 11:50:18am ::1 satishm localhost/smis/pages/reports/class_reports/list_classes 
2018-04-16 11:50:22am ::1 satishm localhost/smis/pages/classes/lession_plan/course_pointer/1385 
2018-04-16 11:51:03am ::1 satishm localhost/smis/pages/classes/lession_plan/activity/Group%20Discussion/ 
2018-04-16 12:43:08pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/home 
2018-04-16 12:43:18pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/reports/class_reports/list_classes 
2018-04-16 12:43:35pm 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/lession_plan/course_pointer/1385 
2018-04-16 12:48:23pm 192.168.1.237 lokeshm 192.168.1.109/smis/pages/home 
2018-04-16 12:48:36pm 192.168.1.237 lokeshm 192.168.1.109/smis/pages/exam/marks_entry 
2018-04-16 12:48:52pm 192.168.1.237 lokeshm 192.168.1.109/smis/pages/exam/marks_entry 
2018-04-16 12:48:52pm 192.168.1.237 lokeshm 192.168.1.109/smis/pages/exam/marks_entry/add/1385 
2018-04-16 12:49:10pm 192.168.1.237 atish 192.168.1.109/smis/pages/home 
2018-04-16 12:49:30pm 192.168.1.237 atish 192.168.1.109/smis/pages/exam/marks_entry/add/1385 
2018-04-16 12:49:42pm 192.168.1.237 atish 192.168.1.109/smis/pages/home 
2018-04-16 12:50:07pm 192.168.1.237 atish 192.168.1.109/smis/pages/exam/marks_entry/add/1385 
