2018-04-22 09:12:17am 192.168.1.153  192.168.1.109/smis/pages/profile/student/add 
2018-04-22 09:13:16am 192.168.1.153  192.168.1.109/smis/pages/profile/student/add 
2018-04-22 09:13:30am 192.168.1.153  192.168.1.109/smis/pages/profile/student/add 
2018-04-22 09:13:45am 192.168.1.153  192.168.1.109/smis/pages/profile/student/add 
2018-04-22 10:36:04am ::1 satishm localhost/smis/pages/home 
2018-04-22 10:36:35am ::1 satishm localhost/smis/pages/home/index 
2018-04-22 10:38:58am ::1 satishm localhost/smis/pages/reports/academic_report/exam_summary_report 
2018-04-22 10:39:10am ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-04-22 10:39:16am ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-04-22 10:41:30am ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-04-22 10:41:47am ::1 satishm localhost/smis/pages/reports/academic_report/view_terminal_total 
2018-04-22 10:41:55am ::1 satishm localhost/smis/pages/reports/academic_report/exam_summary_report 
2018-04-22 10:57:46am 192.168.1.138 lokeshm 192.168.1.109/smis/pages/home 
2018-04-22 10:57:51am 192.168.1.138 lokeshm 192.168.1.109/smis/pages/classes/class_manager 
2018-04-22 10:58:04am 192.168.1.138 lokeshm 192.168.1.109/smis/pages/home 
2018-04-22 10:58:07am 192.168.1.138 lokeshm 192.168.1.109/smis/pages/reports/general_reports/dropped_student_list 
2018-04-22 10:58:10am 192.168.1.138 lokeshm 192.168.1.109/smis/pages/home 
2018-04-22 10:59:30am ::1 satishm localhost/smis/pages/profile/student/find 
2018-04-22 10:59:33am ::1 satishm localhost/smis/pages/profile/student/find 
2018-04-22 10:59:35am ::1 satishm localhost/smis/pages/profile/student/details/1214 
2018-04-22 10:59:45am ::1 satishm localhost/smis/pages/reports/academic_report/view_marksheet/1214 
2018-04-22 10:59:52am ::1 satishm localhost/smis/pages/reports/academic_report/view_marksheet/1214 
2018-04-22 10:59:54am ::1 satishm localhost/smis/pages/reports/academic_report/view_marksheet/1214 
2018-04-22 10:59:59am ::1 satishm localhost/smis/pages/reports/academic_report/view_marksheet/1214 
2018-04-22 10:59:59am ::1 satishm localhost/smis/pages/reports/academic_report/view_marksheet/1214 
2018-04-22 11:23:21am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/home 
2018-04-22 11:23:25am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/profile/employee/add 
2018-04-22 11:23:59am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/profile/employee/manage 
2018-04-22 11:25:38am 202.166.196.99 lokeshm 202.52.248.105/smis/theme_option/site_info 
2018-04-22 11:25:43am 202.166.196.99 lokeshm 202.52.248.105/smis/theme_option/manage_menu 
2018-04-22 11:26:02am 202.166.196.99 lokeshm 202.52.248.105/smis/theme_option/manage_menu/edit/201 
2018-04-22 11:26:29am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/reports/employee_reports/employee_list 
2018-04-22 11:29:27am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/profile/employee/add 
2018-04-22 11:31:21am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/profile/employee/insert 
2018-04-22 11:31:21am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/profile/employee/add 
2018-04-22 11:33:09am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/profile/employee/insert 
2018-04-22 11:33:09am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/profile/employee/add 
2018-04-22 11:35:34am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/profile/employee/insert 
2018-04-22 11:35:35am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/profile/employee/add 
2018-04-22 11:37:08am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/profile/employee/insert 
2018-04-22 11:37:09am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/profile/employee/add 
2018-04-22 11:38:39am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/profile/employee/insert 
2018-04-22 11:38:39am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/profile/employee/add 
2018-04-22 11:39:23am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/reports/employee_reports/employee_list 
2018-04-22 11:41:47am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/profile/employee/insert 
2018-04-22 11:41:47am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/profile/employee/add 
2018-04-22 11:42:04am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/reports/employee_reports/employee_list 
