2018-04-26 07:13:01am 202.166.196.99  202.52.248.105/smis/pages/classes/course_manager 
2018-04-26 09:02:40am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/home 
2018-04-26 09:02:44am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 09:03:05am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 09:03:05am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 09:03:15am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 09:03:15am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 09:03:27am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 09:03:27am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 09:03:52am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 09:03:52am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 09:04:05am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 09:04:05am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 09:04:20am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 09:04:20am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 09:04:32am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 09:04:32am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 09:04:47am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 09:04:47am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 09:04:57am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 09:04:58am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 09:05:13am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 09:05:13am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 09:05:33am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 09:05:33am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 09:05:40am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/classes/subject_manager 
2018-04-26 09:06:03am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/classes/subject_manager/update 
2018-04-26 09:06:03am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/classes/subject_manager 
2018-04-26 09:06:13am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/classes/subject_manager/update 
2018-04-26 09:06:13am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/classes/subject_manager 
2018-04-26 09:06:31am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 09:06:54am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/add_exam 
2018-04-26 09:06:54am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting 
2018-04-26 09:06:57am 202.166.196.99 lokeshm 202.52.248.105/smis/pages/exam/exam_setting/edit 
