2018-05-14 10:19:18am 202.52.248.105 satishm smis.apexlifeschool.com/pages/home 
2018-05-14 10:36:40am 202.166.196.99 stewart smis.apexlifeschool.com/pages/home 
2018-05-14 01:19:21pm 202.166.196.99 lokeshm smis.apexlifeschool.com/pages/home 
2018-05-14 01:19:40pm 202.166.196.99 lokeshm smis.apexlifeschool.com/theme_option/user_account/lists 
2018-05-14 01:21:13pm 202.166.196.99 aatish smis.apexlifeschool.com/pages/home 
2018-05-14 01:21:33pm 202.166.196.99 atish smis.apexlifeschool.com/pages/home 
2018-05-14 01:22:02pm 202.166.196.99 aatish smis.apexlifeschool.com/pages/home 
2018-05-14 01:22:11pm 202.166.196.99 shobha smis.apexlifeschool.com/pages/home 
2018-05-14 02:40:45pm 202.166.196.99 deepa smis.apexlifeschool.com/pages/home 
2018-05-14 02:41:08pm 202.166.196.99 deepa smis.apexlifeschool.com/pages/classes/lession_plan/add 
2018-05-14 02:41:37pm 202.166.196.99 deepa smis.apexlifeschool.com/pages/home 
2018-05-14 02:43:11pm 202.166.196.99 shobha smis.apexlifeschool.com/pages/home 
2018-05-14 03:54:00pm 202.166.196.99 aatish smis.apexlifeschool.com/pages/home 
2018-05-14 03:54:16pm 202.166.196.99 aatish smis.apexlifeschool.com/pages/reports/class_reports/list_classes 
2018-05-14 03:54:28pm 202.166.196.99 aatish smis.apexlifeschool.com/pages/classes/lession_plan/course_pointer/1388 
2018-05-14 03:54:52pm 202.166.196.99 atish smis.apexlifeschool.com/pages/home 
2018-05-14 03:54:56pm 202.166.196.99 atish smis.apexlifeschool.com/pages/classes/lession_plan/add 
2018-05-14 04:52:27pm 202.166.196.99 atish smis.apexlifeschool.com/pages/Classes/lession_plan/insert 
2018-05-14 04:52:27pm 202.166.196.99 atish smis.apexlifeschool.com/pages/classes/lession_plan/add 
2018-05-14 04:54:46pm 202.166.196.99 atish smis.apexlifeschool.com/pages/Classes/lession_plan/insert 
2018-05-14 04:54:47pm 202.166.196.99 atish smis.apexlifeschool.com/pages/classes/lession_plan/add 
2018-05-14 04:54:52pm 202.166.196.99 atish smis.apexlifeschool.com/pages/home 
2018-05-14 04:55:14pm 202.166.196.99 atish smis.apexlifeschool.com/pages/classes/lession_plan/course_pointer/1388 
2018-05-14 04:55:46pm 202.166.196.99 atish smis.apexlifeschool.com/pages/home 
2018-05-14 04:55:52pm 202.166.196.99 atish smis.apexlifeschool.com/pages/classes/lession_plan/edit 
2018-05-14 04:56:01pm 202.166.196.99 atish smis.apexlifeschool.com/pages/classes/lession_plan/edit 
2018-05-14 04:56:30pm 202.166.196.99 atish smis.apexlifeschool.com/pages/classes/lession_plan/update/1388 
2018-05-14 04:56:30pm 202.166.196.99 atish smis.apexlifeschool.com/pages/classes/lession_plan/edit 
2018-05-14 04:56:45pm 202.166.196.99 atish smis.apexlifeschool.com/pages/classes/lession_plan/edit 
2018-05-14 04:56:50pm 202.166.196.99 atish smis.apexlifeschool.com/pages/classes/lession_plan/add 
2018-05-14 05:02:10pm 202.166.196.99 atish smis.apexlifeschool.com/pages/Classes/lession_plan/insert 
2018-05-14 05:02:11pm 202.166.196.99 atish smis.apexlifeschool.com/pages/classes/lession_plan/add 
2018-05-14 05:02:14pm 202.166.196.99 atish smis.apexlifeschool.com/pages/home 
2018-05-14 05:02:18pm 202.166.196.99 atish smis.apexlifeschool.com/pages/classes/lession_plan/course_pointer/1388 
2018-05-14 05:02:46pm 202.166.196.99 atish smis.apexlifeschool.com/pages/classes/lession_plan/add_activity 
2018-05-14 05:08:59pm 202.166.196.99 atish smis.apexlifeschool.com/pages/classes/lession_plan/insert_activity 
2018-05-14 05:08:59pm 202.166.196.99 atish smis.apexlifeschool.com/pages/classes/lession_plan/add_activity 
2018-05-14 05:09:07pm 202.166.196.99 aatish smis.apexlifeschool.com/pages/home 
2018-05-14 05:09:09pm 202.166.196.99 aatish smis.apexlifeschool.com/pages/reports/class_reports/list_classes 
2018-05-14 05:09:17pm 202.166.196.99 aatish smis.apexlifeschool.com/pages/classes/lession_plan/course_pointer/1388 
2018-05-14 05:10:41pm 202.166.196.99 atish smis.apexlifeschool.com/pages/home 
2018-05-14 05:11:00pm 202.166.196.99 atish smis.apexlifeschool.com/pages/classes/lession_plan/course_pointer/1388 
2018-05-14 05:11:36pm 202.166.196.99 atish smis.apexlifeschool.com/pages/classes/lession_plan/add_activity 
2018-05-14 05:12:31pm 202.166.196.99 atish smis.apexlifeschool.com/pages/classes/lession_plan/insert_activity 
2018-05-14 05:12:31pm 202.166.196.99 atish smis.apexlifeschool.com/pages/classes/lession_plan/add_activity 
2018-05-14 05:12:40pm 202.166.196.99 atish smis.apexlifeschool.com/pages/classes/lession_plan/edit 
2018-05-14 05:12:48pm 202.166.196.99 atish smis.apexlifeschool.com/pages/classes/lession_plan/edit 
2018-05-14 05:13:46pm 202.166.196.99 atish smis.apexlifeschool.com/pages/home 
2018-05-14 05:13:54pm 202.166.196.99 atish smis.apexlifeschool.com/pages/classes/lession_plan/course_pointer/1388 
2018-05-14 05:14:55pm 202.166.196.99 aatish smis.apexlifeschool.com/pages/home 
2018-05-14 05:15:03pm 202.166.196.99 aatish smis.apexlifeschool.com/pages/classes/lession_plan/edit 
2018-05-14 05:15:10pm 202.166.196.99 aatish smis.apexlifeschool.com/pages/classes/lession_plan/edit 
2018-05-14 05:15:17pm 202.166.196.99 aatish smis.apexlifeschool.com/pages/classes/lession_plan/add_activity 
2018-05-14 05:15:53pm 202.166.196.99 aatish smis.apexlifeschool.com/pages/reports/class_reports/list_classes 
2018-05-14 05:16:27pm 202.166.196.99 aatish smis.apexlifeschool.com/pages/classes/lession_plan/course_pointer/1388 
2018-05-14 05:16:39pm 202.166.196.99 aatish smis.apexlifeschool.com/pages/classes/lession_plan/delete_activity/1388/7 
2018-05-14 05:16:39pm 202.166.196.99 aatish smis.apexlifeschool.com/pages/classes/lession_plan/course_pointer/1388 
2018-05-14 05:17:42pm 202.166.196.99 aatish smis.apexlifeschool.com/pages/classes/lession_plan/add 
2018-05-14 05:17:59pm 202.166.196.99 aatish smis.apexlifeschool.com/pages/classes/lession_plan/edit 
2018-05-14 05:18:06pm 202.166.196.99 aatish smis.apexlifeschool.com/pages/classes/lession_plan/edit 
2018-05-14 05:20:44pm 202.166.196.99 aatish smis.apexlifeschool.com/pages/classes/lession_plan/update/1388 
